size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
15000,AnnData Backed,0.34622740745544434,Filter3,-1.0606594728355656,-0.4606385562308982,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.007104396820068359,Filter4,-4.947041416171512,-2.1484727887901363,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0016734600067138672,Filter4,-6.392861935588376,-2.776384662195373,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.12197327613830566,Filter4,-2.103953306290083,-0.9137353111038852,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.46550869941711426,Filter4,-0.7646244941107156,-0.3320721985203493,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.006873369216918945,Filter5,-4.980100868378803,-2.162830326458507,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0015597343444824219,Filter5,-6.463239764220468,-2.8069493648186237,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1168978214263916,Filter5,-2.1464550468934114,-0.9321935825191943,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.47278761863708496,Filter5,-0.7491090005489525,-0.32533390528247014,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.009690046310424805,Filter6,-4.636656073893276,-2.013674147375046,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0014472007751464844,Filter6,-6.538124088265253,-2.839471213532329,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.12757658958435059,Filter6,-2.059038392110898,-0.8942290117207072,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.11491107940673828,Filter6,-2.1635966722597306,-0.9396380958266395,9.615805480084347,4.176091259055681
20000,AnnSql In-Memory,0.006849527359008789,Filter1,-4.98357562777337,-2.1643393952895087,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0014786720275878906,Filter1,-6.516610872658402,-2.8301281427062785,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.016188621520996094,Filter1,-4.123446658772009,-1.7907901303270846,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.7693197727203369,Filter1,-0.2622485666243067,-0.11389310537197368,9.903487552536127,4.301029995663981
