size,method,runtime,filter,gene_id,runtime_log,runtime_log10,size_log,size_log10
50000,Seurat,0.01400000000001,Filter6,4859,-4.26869794936616,-1.85387196432145,10.8197782844103,4.69897000433602
50000,Seurat,0.0199999999999818,Filter1,9225,-3.91202300542906,-1.69897000433641,10.8197782844103,4.69897000433602
50000,Seurat,0.007000000000005,Filter2,9225,-4.96184512992611,-2.15490195998543,10.8197782844103,4.69897000433602
50000,Seurat,0.00600000000002865,Filter3,9225,-5.11599580974931,-2.22184874961428,10.8197782844103,4.69897000433602
50000,Seurat,0.007000000000005,Filter4,9225,-4.96184512992611,-2.15490195998543,10.8197782844103,4.69897000433602
50000,Seurat,0.0320000000000391,Filter5,9225,-3.44201937618119,-1.49485002167956,10.8197782844103,4.69897000433602
50000,Seurat,0.0129999999999768,Filter6,9225,-4.34280592152238,-1.88605664769394,10.8197782844103,4.69897000433602
50000,Seurat,0.0300000000000296,Filter1,7891,-3.506557897319,-1.52287874527991,10.8197782844103,4.69897000433602
50000,Seurat,0.0249999999999773,Filter2,7891,-3.68887945411485,-1.60205999132836,10.8197782844103,4.69897000433602
50000,Seurat,0.00600000000002865,Filter3,7891,-5.11599580974931,-2.22184874961428,10.8197782844103,4.69897000433602
50000,Seurat,0.007000000000005,Filter4,7891,-4.96184512992611,-2.15490195998543,10.8197782844103,4.69897000433602
50000,Seurat,0.0270000000000437,Filter5,7891,-3.61191841297619,-1.56863623584031,10.8197782844103,4.69897000433602
50000,Seurat,0.0160000000000196,Filter6,7891,-4.13516655674113,-1.79588001734354,10.8197782844103,4.69897000433602
50000,Seurat,0.0389999999999873,Filter1,4373,-3.24419363285282,-1.40893539297364,10.8197782844103,4.69897000433602
50000,Seurat,0.0360000000000014,Filter2,4373,-3.32423634052599,-1.4436974992327,10.8197782844103,4.69897000433602
50000,Seurat,0.0369999999999777,Filter3,4373,-3.29683736633851,-1.43179827593327,10.8197782844103,4.69897000433602
50000,Seurat,0.0370000000000346,Filter4,4373,-3.29683736633698,-1.4317982759326,10.8197782844103,4.69897000433602
50000,Seurat,0.0310000000000059,Filter5,4373,-3.4737680744968,-1.50863830616564,10.8197782844103,4.69897000433602
50000,Seurat,0.01400000000001,Filter6,4373,-4.26869794936616,-1.85387196432145,10.8197782844103,4.69897000433602
50000,Seurat,0.02800000000002,Filter1,5874,-3.57555076880622,-1.55284196865747,10.8197782844103,4.69897000433602
50000,Seurat,0.0279999999999632,Filter2,5874,-3.57555076880825,-1.55284196865835,10.8197782844103,4.69897000433602
50000,Seurat,0.0270000000000437,Filter3,5874,-3.61191841297619,-1.56863623584031,10.8197782844103,4.69897000433602
50000,Seurat,0.0269999999999868,Filter4,5874,-3.6119184129783,-1.56863623584122,10.8197782844103,4.69897000433602
50000,Seurat,0.0260000000000105,Filter5,5874,-3.64965874096025,-1.58502665202901,10.8197782844103,4.69897000433602
50000,Seurat,0.01400000000001,Filter6,5874,-4.26869794936616,-1.85387196432145,10.8197782844103,4.69897000433602
50000,Seurat,0.0760000000000218,Filter1,6744,-2.57702193869552,-1.11918640771908,10.8197782844103,4.69897000433602
50000,Seurat,0.0600000000000023,Filter2,6744,-2.81341071676,-1.22184874961634,10.8197782844103,4.69897000433602
50000,Seurat,0.0390000000000441,Filter3,6744,-3.24419363285136,-1.40893539297301,10.8197782844103,4.69897000433602
50000,Seurat,0.04200000000003,Filter4,6744,-3.17008566069805,-1.37675070960179,10.8197782844103,4.69897000433602
50000,Seurat,0.0339999999999918,Filter5,6744,-3.38139475436622,-1.46852108295785,10.8197782844103,4.69897000433602
50000,Seurat,0.0149999999999864,Filter6,6744,-4.19970507788084,-1.82390874094471,10.8197782844103,4.69897000433602
50000,Seurat,0.0200000000000387,Filter1,3468,-3.91202300542621,-1.69897000433518,10.8197782844103,4.69897000433602
50000,Seurat,0.00499999999999545,Filter2,3468,-5.29831736654895,-2.30102999566438,10.8197782844103,4.69897000433602
50000,Seurat,0.00600000000002865,Filter3,3468,-5.11599580974931,-2.22184874961428,10.8197782844103,4.69897000433602
50000,Seurat,0.0080000000000382,Filter4,3468,-4.82831373729753,-2.09691001300598,10.8197782844103,4.69897000433602
50000,Seurat,0.0230000000000246,Filter5,3468,-3.77226106305192,-1.63827216398194,10.8197782844103,4.69897000433602
50000,Seurat,0.01400000000001,Filter6,3468,-4.26869794936616,-1.85387196432145,10.8197782844103,4.69897000433602
50000,Seurat,0.0550000000000068,Filter1,705,-2.90042209374954,-1.2596373105057,10.8197782844103,4.69897000433602
50000,Seurat,0.0520000000000209,Filter2,705,-2.95651156040031,-1.28399665636503,10.8197782844103,4.69897000433602
50000,Seurat,0.0349999999999682,Filter3,705,-3.35240721749363,-1.45593195565012,10.8197782844103,4.69897000433602
