size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
35000,Seurat,4047.04,Filter2,6216,8.30574102869161,3.60713749687821,10.4631033404715,4.54406804435028
35000,Seurat,4028.66,Filter3,6216,8.30118909344481,3.60516061651854,10.4631033404715,4.54406804435028
35000,Seurat,4029.53,Filter4,6216,8.30140502282929,3.6052543934587,10.4631033404715,4.54406804435028
35000,Seurat,4010.58,Filter5,6216,8.29669114824548,3.60320718373857,10.4631033404715,4.54406804435028
35000,Seurat,4020.93,Filter6,6216,8.29926849814092,3.60432651257609,10.4631033404715,4.54406804435028
35000,Seurat,4008.22,Filter1,6921,8.29610253147785,3.60295155072443,10.4631033404715,4.54406804435028
35000,Seurat,4009.1,Filter2,6921,8.29632205620769,3.60304688910324,10.4631033404715,4.54406804435028
35000,Seurat,4009.97,Filter3,6921,8.29653903897587,3.60314112352213,10.4631033404715,4.54406804435028
35000,Seurat,4010.85,Filter4,6921,8.29675846791295,3.60323642029867,10.4631033404715,4.54406804435028
35000,Seurat,4010.58,Filter5,6921,8.29669114824548,3.60320718373857,10.4631033404715,4.54406804435028
35000,Seurat,4020.93,Filter6,6921,8.29926849814092,3.60432651257609,10.4631033404715,4.54406804435028
35000,Seurat,4036.69,Filter1,6036,8.30318032820914,3.60602539878886,10.4631033404715,4.54406804435028
35000,Seurat,4037.56,Filter2,6036,8.30339582810161,3.60611898920301,10.4631033404715,4.54406804435028
35000,Seurat,4028.08,Filter3,6036,8.30104511461441,3.60509808730699,10.4631033404715,4.54406804435028
35000,Seurat,4028.96,Filter4,6036,8.30126355712022,3.60519295568187,10.4631033404715,4.54406804435028
35000,Seurat,4010.58,Filter5,6036,8.29669114824548,3.60320718373857,10.4631033404715,4.54406804435028
35000,Seurat,4020.93,Filter6,6036,8.29926849814092,3.60432651257609,10.4631033404715,4.54406804435028
40000,Seurat,4603.01,Filter1,2732,8.43446571631108,3.66304191839606,10.5966347330961,4.60205999132796
40000,Seurat,4604,Filter2,2732,8.43468076984177,3.66313531495775,10.5966347330961,4.60205999132796
40000,Seurat,4598.43,Filter3,2732,8.43347021987178,3.66260957978572,10.5966347330961,4.60205999132796
40000,Seurat,4599.42,Filter4,2732,8.43368548757104,3.66270306935964,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,2732,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,2732,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5004.12,Filter1,9845,8.51801685211461,3.69932771563228,10.5966347330961,4.60205999132796
40000,Seurat,5004.54,Filter2,9845,8.51810077943361,3.6993641648038,10.5966347330961,4.60205999132796
40000,Seurat,4611.56,Filter3,9845,8.43632147354202,3.66384786352121,10.5966347330961,4.60205999132796
40000,Seurat,4611.97,Filter4,9845,8.43641037659763,3.66388647362768,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,9845,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,9845,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4632.28,Filter1,3264,8.44080446647595,3.66579480261483,10.5966347330961,4.60205999132796
40000,Seurat,4633.27,Filter2,3264,8.4410181612925,3.66588760909447,10.5966347330961,4.60205999132796
40000,Seurat,4602.12,Filter3,3264,8.43427234587464,3.66295793868255,10.5966347330961,4.60205999132796
40000,Seurat,4603.11,Filter4,3264,8.43448744098988,3.66305135330418,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,3264,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,3264,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4653.3,Filter1,4859,8.44533192429881,3.66776105256435,10.5966347330961,4.60205999132796
40000,Seurat,4654.29,Filter2,4859,8.44554465391061,3.66785343986089,10.5966347330961,4.60205999132796
40000,Seurat,4602.46,Filter3,4859,8.43434622214062,3.66299002273721,10.5966347330961,4.60205999132796
40000,Seurat,4603.22,Filter4,4859,8.43451133759146,3.66306173146639,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,4859,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,4859,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4606.58,Filter1,9225,8.43524099516254,3.66337861772319,10.5966347330961,4.60205999132796
40000,Seurat,4607.57,Filter2,9225,8.4354558820493,3.66347194191234,10.5966347330961,4.60205999132796
40000,Seurat,4598.43,Filter3,9225,8.43347021987178,3.66260957978572,10.5966347330961,4.60205999132796
40000,Seurat,4599.42,Filter4,9225,8.43368548757104,3.66270306935964,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,9225,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,9225,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,4630.09,Filter1,7891,8.44033158533628,3.66558943294527,10.5966347330961,4.60205999132796
40000,Seurat,4631.08,Filter2,7891,8.44054538121818,3.66568228331703,10.5966347330961,4.60205999132796
40000,Seurat,4602.12,Filter3,7891,8.43427234587464,3.66295793868255,10.5966347330961,4.60205999132796
40000,Seurat,4602.99,Filter4,7891,8.43446137131868,3.66304003138984,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,7891,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,7891,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5376.81,Filter1,4373,8.58985054049631,3.73052469011121,10.5966347330961,4.60205999132796
40000,Seurat,5377.8,Filter2,4373,8.59003464759137,3.73060464680668,10.5966347330961,4.60205999132796
40000,Seurat,4620.11,Filter3,4373,8.43817379331615,3.66465231577784,10.5966347330961,4.60205999132796
40000,Seurat,4620.07,Filter4,4373,8.43816513547615,3.6646485557257,10.5966347330961,4.60205999132796
40000,Seurat,4583.43,Filter5,4373,8.43020290511329,3.66119060301546,10.5966347330961,4.60205999132796
40000,Seurat,4594.79,Filter6,4373,8.43267833189559,3.66226566720737,10.5966347330961,4.60205999132796
40000,Seurat,5261.91,Filter1,5874,8.56824935769114,3.72114341561634,10.5966347330961,4.60205999132796
40000,Seurat,5262.67,Filter2,5874,8.56839378150688,3.72120613808257,10.5966347330961,4.60205999132796
40000,Seurat,4618.27,Filter3,5874,8.43777545507409,3.66447931967738,10.5966347330961,4.60205999132796
40000,Seurat,4618.46,Filter4,5874,8.43781659517455,3.66449718659599,10.5966347330961,4.60205999132796
