size,type,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
5000,AnnData Not-Backed,0.002719879150390625,Filter5,-5.907167829664719,-2.565450392099796,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.1480083465576172,Filter5,-1.9104866111486218,-0.8297137929718901,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.21301794052124023,Filter5,-1.546378889020424,-0.6715838184332512,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,0.006891489028930664,Filter6,-4.97746810280222,-2.161686930896452,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,0.0015146732330322266,Filter6,-6.492555551052264,-2.8196810492723245,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,0.14812207221984863,Filter6,-1.909718532892481,-0.8293802208235782,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.049294471740722656,Filter6,-3.00994333929772,-1.307201783098447,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,0.004568338394165039,Filter1,-5.388605730089098,-2.340241733729939,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0023190975189208984,Filter1,-6.066577169449356,-2.634680988732104,9.210340371976184,4.0
10000,AnnSql On-Disk,0.016147136688232422,Filter1,-4.12601253987835,-1.7919044783327884,9.210340371976184,4.0
10000,AnnData Backed,0.29234814643859863,Filter1,-1.2298099045940043,-0.5340996553551406,9.210340371976184,4.0
10000,AnnSql In-Memory,0.005028724670410156,Filter2,-5.292588871668436,-2.2985421419481598,9.210340371976184,4.0
10000,AnnData Not-Backed,0.002377033233642578,Filter2,-6.041902109362913,-2.623964746295931,9.210340371976184,4.0
10000,AnnSql On-Disk,0.13608717918395996,Filter2,-1.9944595752023628,-0.8661827878894899,9.210340371976184,4.0
10000,AnnData Backed,0.2561314105987549,Filter2,-1.362064643556191,-0.5915371586919733,9.210340371976184,4.0
10000,AnnSql In-Memory,0.005045890808105469,Filter3,-5.289181068294774,-2.297062151747567,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0026705265045166016,Filter3,-5.925479633307058,-2.573403107375359,9.210340371976184,4.0
10000,AnnSql On-Disk,0.14479875564575195,Filter3,-1.9324103926741316,-0.8392351703108715,9.210340371976184,4.0
10000,AnnData Backed,0.32605886459350586,Filter3,-1.1206773476778022,-0.4867039880904416,9.210340371976184,4.0
10000,AnnSql In-Memory,0.005836009979248047,Filter4,-5.143707938376513,-2.2338839741588714,9.210340371976184,4.0
10000,AnnData Not-Backed,0.004256010055541992,Filter4,-5.459423164271245,-2.370997354617792,9.210340371976184,4.0
10000,AnnSql On-Disk,0.13785529136657715,Filter4,-1.9815507572901674,-0.8605765595023296,9.210340371976184,4.0
10000,AnnData Backed,0.41548609733581543,Filter4,-0.8783061253287086,-0.381443503652084,9.210340371976184,4.0
10000,AnnSql In-Memory,0.005557060241699219,Filter5,-5.192686044055832,-2.2551548951894738,9.210340371976184,4.0
10000,AnnData Not-Backed,0.002782583236694336,Filter5,-5.884375560906443,-2.5555518355480205,9.210340371976184,4.0
