size,time,type,filter
46000,1.40498948097229,AnnData,3
46000,0.1532425880432129,AnnSQL,4
46000,0.3585803508758545,AnnData,4
48000,0.016088008880615234,AnnSQL,1
48000,8.993458986282349,AnnData,1
48000,0.13343024253845215,AnnSQL,2
48000,2.295793294906616,AnnData,2
48000,0.13811755180358887,AnnSQL,3
48000,1.4390389919281006,AnnData,3
48000,0.15334391593933105,AnnSQL,4
48000,0.3711059093475342,AnnData,4
50000,0.014303445816040039,AnnSQL,1
50000,10.179256916046143,AnnData,1
50000,0.12471652030944824,AnnSQL,2
50000,2.3107688426971436,AnnData,2
50000,0.13794159889221191,AnnSQL,3
50000,1.2450096607208252,AnnData,3
50000,0.13591337203979492,AnnSQL,4
50000,0.34826207160949707,AnnData,4
52000,0.013689041137695312,AnnSQL,1
52000,9.937359809875488,AnnData,1
52000,0.13203907012939453,AnnSQL,2
52000,2.4782493114471436,AnnData,2
52000,0.1449434757232666,AnnSQL,3
52000,2.191722869873047,AnnData,3
52000,0.15940332412719727,AnnSQL,4
52000,0.35610270500183105,AnnData,4
54000,0.014583587646484375,AnnSQL,1
54000,11.277676105499268,AnnData,1
54000,0.14175772666931152,AnnSQL,2
54000,2.875455379486084,AnnData,2
54000,0.14272642135620117,AnnSQL,3
54000,1.722658634185791,AnnData,3
54000,0.14981603622436523,AnnSQL,4
54000,0.4158637523651123,AnnData,4
98000,0.01561117172241211,AnnSQL,1
98000,39.327189922332764,AnnData,1
98000,0.15151596069335938,AnnSQL,2
98000,9.316752672195435,AnnData,2
98000,0.1492447853088379,AnnSQL,3
98000,2.836426019668579,AnnData,3
98000,0.15741729736328125,AnnSQL,4
98000,0.7123966217041016,AnnData,4
