size,method,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
5000,AnnSql On-Disk,0.14339280128479004,Filter6,-1.9421675523222282,-0.8434726509050888,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.03589367866516113,Filter6,-3.3271940807425016,-1.444982029487631,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,0.006485462188720703,Filter1,-5.038192193326098,-2.1880590683295655,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0031244754791259766,Filter1,-5.76848885656129,-2.505222879324967,9.210340371976184,4.0
10000,AnnSql On-Disk,0.01712942123413086,Filter1,-4.06695775389927,-1.766257310652096,9.210340371976184,4.0
10000,AnnData Backed,0.23002958297729492,Filter1,-1.469547356689583,-0.6382163079057956,9.210340371976184,4.0
10000,AnnSql In-Memory,0.004522562026977539,Filter2,-5.398676625592074,-2.3446154680747053,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0019199848175048828,Filter2,-6.2554380005232515,-2.7167022055151593,9.210340371976184,4.0
10000,AnnSql On-Disk,0.14737319946289062,Filter2,-1.914787137584201,-0.8315814878721411,9.210340371976184,4.0
10000,AnnData Backed,0.18540263175964355,Filter2,-1.6852254309152972,-0.7318841054095433,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0046384334564208984,Filter3,-5.3733785869001425,-2.3336286694678248,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0022809505462646484,Filter3,-6.083163016640629,-2.6418841306449647,9.210340371976184,4.0
10000,AnnSql On-Disk,0.1353302001953125,Filter3,-2.0000375595826725,-0.868605275726001,9.210340371976184,4.0
10000,AnnData Backed,0.22253775596618652,Filter3,-1.5026585020358472,-0.6525962956191746,9.210340371976184,4.0
10000,AnnSql In-Memory,0.004651784896850586,Filter4,-5.370504284248898,-2.3323803756870696,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0028650760650634766,Filter4,-5.855160379407497,-2.542863843435226,9.210340371976184,4.0
10000,AnnSql On-Disk,0.13933396339416504,Filter4,-1.970881613168023,-0.8559430090834517,9.210340371976184,4.0
10000,AnnData Backed,0.26668667793273926,Filter4,-1.3216808005500758,-0.5739986785163703,9.210340371976184,4.0
10000,AnnSql In-Memory,0.0046193599700927734,Filter5,-5.377499118097249,-2.335418193429238,9.210340371976184,4.0
10000,AnnData Not-Backed,0.002519845962524414,Filter5,-5.98355750530945,-2.5986260067066813,9.210340371976184,4.0
10000,AnnSql On-Disk,0.13712573051452637,Filter5,-1.9868570330388446,-0.8628810457794371,9.210340371976184,4.0
10000,AnnData Backed,0.25773096084594727,Filter5,-1.3558390255604025,-0.5888334071499648,9.210340371976184,4.0
10000,AnnSql In-Memory,0.006125450134277344,Filter6,-5.095303033941113,-2.212861991265523,9.210340371976184,4.0
10000,AnnData Not-Backed,0.0014605522155761719,Filter6,-6.528940684926076,-2.8354829121370324,9.210340371976184,4.0
10000,AnnSql On-Disk,0.14754152297973633,Filter6,-1.9136456310922279,-0.8310857379016205,9.210340371976184,4.0
10000,AnnData Backed,0.06449151039123535,Filter6,-2.7412216856846374,-1.1904974517663682,9.210340371976184,4.0
15000,AnnSql In-Memory,0.004074573516845703,Filter1,-5.50298919620916,-2.3899178418868496,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.005053281784057617,Filter1,-5.28771738853206,-2.2964264837033466,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.012257575988769531,Filter1,-4.401611085088774,-1.9115954057382394,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.5181357860565186,Filter1,-0.6575179358298499,-0.2855564112833202,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.007585763931274414,Filter2,-4.8814819551985265,-2.120000676653017,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.002446413040161133,Filter2,-6.013132392456588,-2.6114702169975947,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.12894654273986816,Filter2,-2.0483573578721446,-0.8895902974897967,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.34763145446777344,Filter2,-1.056612399271293,-0.4588809345140781,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.0050966739654541016,Filter3,-5.279167115639516,-2.292713147367348,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0034644603729248047,Filter3,-5.665198394998101,-2.460364401834834,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.13285565376281738,Filter3,-2.01849205018982,-0.8766199591630204,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.3175365924835205,Filter3,-1.1471622153737826,-0.49820621998474346,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.004476308822631836,Filter4,-5.4089564956864615,-2.34907995893138,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.003278017044067383,Filter4,-5.720516599141563,-2.4843887926431374,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.14241671562194824,Filter4,-1.9489979019077484,-0.8464390340395505,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.3956601619720459,Filter4,-0.9271996130104762,-0.4026776755532803,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.005074501037597656,Filter5,-5.283527076602537,-2.2946066543549013,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0032007694244384766,Filter5,-5.744364052941731,-2.4947456102359933,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.13036632537841797,Filter5,-2.037406903802576,-0.8848345757130482,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.3770558834075928,Filter5,-0.9753618706690027,-0.42359427829038104,9.615805480084347,4.176091259055681
15000,AnnSql In-Memory,0.0072443485260009766,Filter6,-4.927533627749341,-2.1400006639242513,9.615805480084347,4.176091259055681
15000,AnnData Not-Backed,0.0017261505126953125,Filter6,-6.361861486939035,-2.762921338410439,9.615805480084347,4.176091259055681
15000,AnnSql On-Disk,0.1438121795654297,Filter6,-1.9392471393303319,-0.8422043316578298,9.615805480084347,4.176091259055681
15000,AnnData Backed,0.13517427444458008,Filter6,-2.001190411255161,-0.8691059528458155,9.615805480084347,4.176091259055681
20000,AnnSql In-Memory,0.005063295364379883,Filter1,-5.285737749876498,-2.295566737559074,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0022940635681152344,Filter1,-6.077430550059398,-2.639394552041041,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.01491236686706543,Filter1,-4.205564419204631,-1.8264534205492253,9.903487552536127,4.301029995663981
20000,AnnData Backed,1.0043904781341553,Filter1,0.004380868103185183,0.0019025868431592906,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.004703998565673828,Filter2,-5.359342373302136,-2.3275328193553952,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0029456615447998047,Filter2,-5.8274218538960865,-2.530817154869488,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.14678716659545898,Filter2,-1.918771587635021,-0.8333119125426314,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6253271102905273,Filter2,-0.4694803896945843,-0.20389274260614623,9.903487552536127,4.301029995663981
