size,method,runtime,filter_type,runtime_log,runtime_log10,size_log,size_log10
20000,AnnData Not-Backed,0.0045340061187744,Filter5,-5.396149377366524,-2.3435178981159495,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1338577270507812,Filter5,-2.0109777815017553,-0.8733565537362555,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.6245555877685547,Filter5,-0.47071494173880685,-0.2044289017465745,9.903487552536127,4.301029995663981
20000,AnnSql In-Memory,0.014336347579956,Filter6,-4.244957177789846,-1.8435614782297316,9.903487552536127,4.301029995663981
20000,AnnData Not-Backed,0.0029742717742919,Filter6,-5.817756051699108,-2.5266193503121723,9.903487552536127,4.301029995663981
20000,AnnSql On-Disk,0.1341667175292968,Filter6,-2.0086720916913516,-0.8723552053746167,9.903487552536127,4.301029995663981
20000,AnnData Backed,0.1871111392974853,Filter6,-1.6760525108763287,-0.7279003568536795,9.903487552536127,4.301029995663981
25000,AnnSql In-Memory,0.0064926147460937,Filter2,-5.0370899409457035,-2.187580366203096,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0052173137664794,Filter2,-5.255772613664455,-2.2825530442527038,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.0249021053314209,Filter2,-3.692802927623062,-1.6037639342228691,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.9646425247192384,Filter2,-0.03599768697871114,-0.015633596816134788,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0140626430511474,Filter3,-4.264233426543201,-1.8519330466951076,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0085835456848144,Filter3,-4.757908200868153,-2.0663332770392677,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1478815078735351,Filter3,-1.9113439483634789,-0.8300861297934328,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.7903213500976562,Filter3,-0.2353156439549692,-0.10219628567515342,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0082459449768066,Filter4,-4.798033717432934,-2.0837595674668696,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0085978507995605,Filter4,-4.7562430139824885,-2.065610095563486,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1585199832916259,Filter4,-1.841874616062218,-0.7999159821134918,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.8439455032348633,Filter4,-0.16966735609782727,-0.07368559651240042,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.0135626792907714,Filter5,-4.300433428172789,-1.8676545076477264,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0165402889251709,Filter5,-4.101956121270061,-1.7814569084768537,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.2373065948486328,Filter5,-1.4384023247397653,-0.6246901923912893,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.7332143783569336,Filter5,-0.3103171527929746,-0.13476902709791713,10.126631103850338,4.3979400086720375
25000,AnnSql In-Memory,0.015981912612915,Filter6,-4.136297657888952,-1.7963712483305163,10.126631103850338,4.3979400086720375
25000,AnnData Not-Backed,0.0042505264282226,Filter6,-5.460712438252363,-2.3715572791934534,10.126631103850338,4.3979400086720375
25000,AnnSql On-Disk,0.1430950164794922,Filter6,-1.9442464184664576,-0.8443754910001432,10.126631103850338,4.3979400086720375
25000,AnnData Backed,0.2065951824188232,Filter6,-1.576994040967203,-0.684879809986367,10.126631103850338,4.3979400086720375
30000,AnnSql In-Memory,0.0059332847595214,Filter2,-5.127177296983234,-2.226704807819449,10.308952660644293,4.477121254719663
